model_profile,model_quantization,corpus_version,corpus_sha256,query_manifest_sha256,index_snapshot_id,embedding_model,cocoindex_version,corpus_record_count,indexed_record_count,query_count,synthesis_case_count,assertions_passed,assertions_failed,assertions_total,outcomes_correct,outcomes_total,required_top_five_passed,expected_rank_one_passed,recall_at_5_numerator,recall_at_5_denominator,strict_supported_cases,strict_synthesis_cases,terminal_schema_failures,synthesis_schema_valid,synthesis_schema_invalid,synthesis_schema_unobserved,semantic_strictness_failures,runner_duration_ms,exit_code,raw_run_path
qwen2.5:0.5b,Q4_K_M,sim-game-logs-v1,ddf326aa636543a4c77dcf1262bd55e2b388ef1cae709f75f9a6b66f1d8f9ad2,5fe747e2cf2c8f52cafc2468426e00f41295dfefe9eacbf66091369df35eed33,sim-index-v1,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1.0.19,9,8,10,2,130,10,140,8,10,10,10,9,9,0,2,0,0,0,2,0,131766.491,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema
qwen2.5:1.5b,Q4_K_M,sim-game-logs-v1,ddf326aa636543a4c77dcf1262bd55e2b388ef1cae709f75f9a6b66f1d8f9ad2,5fe747e2cf2c8f52cafc2468426e00f41295dfefe9eacbf66091369df35eed33,sim-index-v1,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1.0.19,9,8,10,2,130,10,140,8,10,10,10,9,9,0,2,0,0,0,2,0,103401.433,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen1_5b
qwen2.5:3b,Q4_K_M,sim-game-logs-v1,ddf326aa636543a4c77dcf1262bd55e2b388ef1cae709f75f9a6b66f1d8f9ad2,5fe747e2cf2c8f52cafc2468426e00f41295dfefe9eacbf66091369df35eed33,sim-index-v1,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1.0.19,9,8,10,2,136,4,140,9,10,10,10,9,9,1,2,0,2,0,0,1,85759.588,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen3b
